PARK_NAME,ADDRESS
Knollwood Neighborhood Park,"7503 Shelton Rd., Austin, Texas 78725"
Lewis Mountain Ranch Neighborhood Park,"8206 Lewis Mountain Dr., Austin, Texas 78737"
Oertli Neighborhood Park,"12613 Blaine Rd., Austin, Texas 78753"
Springfield Neighborhood Park,"6604 E William Cannon Dr., Austin, Texas 78744"
Springwoods Neighborhood Park,"9117 Anderson Mill Rd., Austin, Texas 78729"
South Austin Senior Activity Center,"3911 Manchaca Rd., Austin, Texas 78704"
Zilker Metro Park,"2100 Barton Springs Rd., Austin, Texas 78746"
Waller Creek Greenbelt,"703 E 6th St., Austin, Texas 78701"
Williamson Creek West Greenbelt,"6310 Brush Country Rd., Austin, Texas 78749"
Longhorn Shores at Town Lake Metro Park,"60 S Pleasant Valley Rd., Austin, Texas 78741"
Ricky Guerrero Pocket Park,"2006 S 6th St., Austin, Texas 78704"
Stoney Ridge Neighborhood Park,"7000 Moores Crossing Blvd., Austin, Texas 78617"
Kennemer Pool,"1031 Payton Gin Rd., Austin, Texas 78758"
Archstone Greenbelt,"4308 Staggerbrush Rd., Austin, Texas 78749"
Eilers (Deep Eddy) Neighborhood Park,"401 Deep Eddy Ave., Austin, Texas 78703"
"Evergreen Cemetery
","3300 E 12th St., Austin, Texas 78721"
Dottie Jordan Neighborhood Park,"2803 Loyola Ln., Austin, Texas 78723"
Meadows at Trinity Crossing Neighborhood Park,"5900 Sendero Hills Pkwy., Austin, Texas 78724"
Quail Creek Neighborhood Park,"1101 Mearns Meadow Dr., Austin, Texas 78758"
Caldwell Treaty Oak Park,"507 Baylor St., Austin, Texas 78703"
Eastwoods Neighborhood Park,"3001 Harris Park Ave., Austin, Texas 78705"
Central Maintenance Complex at Town Lake Metro Park,"2525 S Lakeshore Blvd., Austin, Texas 78741"
Conley-Guerrero Senior Activity Center,"808 Nile St., Austin, Texas 78702"
Convict Hill Quarry Neighborhood Park,"6511 Convict Hill Rd., Austin, Texas 78749"
Buttermilk Neighborhood Park,"7500 Blessing Ave., Austin, Texas 78752"
Big Stacy Neighborhood Park,"700 E Live Oak St., Austin, Texas 78704"
Kendra Page Neighborhood Park,"2203 Blue Meadow Dr., Austin, Texas 78744"
Pillow School Park,"8500 Rockwood Ln., Austin, Texas 78757"
Plummers Cemetery,"1150 Blk of Springdale Rd., Austin, Texas 78721"
Wooldridge School Park,"1410 Norseman Ter., Austin, Texas 78758"
Austin's Colony Neighborhood Park,"14501 Lippincott St. Austin, Texas 78725"
Mary Moore Searight Metro Park,"907 W Slaughter Ln., Austin, Texas 78748"
Piney Bend Neighborhood Park,"8601 Piney Creek Bnd., Austin, Texas 78745"
St. Edwards Greenbelt,"7301 Spicewood Springs Rd., Austin, Texas 78750"
Beverly S. Sheffield Northwest District Park,"7000 Ardath St., Austin, Texas 78757"
"Gustavo ""Gus"" L. Garcia District Park","1201 E Rundberg Ln., Austin, Texas 78753"
Hall/Goodnight Planting Strip,"6305 Hall St., Austin, Texas 78757"
Murchison Pool,"7022 Hart Ln., Austin, Texas 78731"
Oakview Neighborhood Park,"10902 Oak View Dr., Austin, Texas 78759"
Rosewood Neighborhood Park,"2300 Rosewood Ave., Austin, Texas 78702"
Wells Creek Greenbelt,"13120 Metric Blvd., Austin, Texas 78727"
Tarrytown Neighborhood Park,"2106 Tower Dr., Austin, Texas 78703"
Barrow Nature Preserve,"7515 Step Down Cv., Austin, Texas 78731"
Battle Bend Neighborhood Park,"121 Sheraton Ave., Austin, Texas 78745"
Davis/White Northeast Neighborhood Park,"6705 Crystalbrook Dr., Austin, Texas 78724"
Harris Triangle,"2409 Windsor Rd., Ausin, Texas 78703"
Mabel Davis District Park,"3427 Parker Ln., Austin, Texas 78741"
Ortega School Park,"5308 Chico St., Austin, Texas 78721"
Wooldridge Square,"900 Guadalupe St., Austin, Texas 78701"
Butler Metro Park,"1000 Barton Springs Rd. Austin, Texas 78704"
Canyon Vista Pool,"8455 Spicewood Springs Rd., Austin, Texas 78750"
Joslin Neighborhood Park,"2106 Cimaron Trl., Austin, Texas 78745"
Little Walnut Creek District Park,"5100 E 51st St., Austin, Texas 78723"
Longview Neighborhood Park,"7609 Longview Rd., Austin, Texas 78745"
Yett Creek Neighborhood Park,"12538 Riata Vista Cir., Austin, Texas 78727"
Gillis Neighborhood Park,"2410 Durwood Ave., Austin, Texas 78704"
Sanchez School Park,"64 Waller St., Austin, Texas 78702"
Slaughter Creek at Twin Oaks Greenbelt,"10520 S 1st St., Austin, Texas 78748"
Vic Mathias Shores at Town Lake Metro Park,"700 W Riverside Dr., Austin, Texas 78704"
Blunn Creek Greenbelt,"1901 East Side Dr., Austin, Texas 78704"
Umlauf Sculpture Garden,"605 Robert E Lee Rd., Austin, Texas 78704"
Walsh Boat Landing,"1600 Scenic Dr., Austin, Texas 78703"
Buttermilk Branch Greenbelt,"7501 Bethune Ave., Austin, Texas, 78752"
Pecan Springs School Park,"3312 Rogge Ln., Austin, Texas 78723"
South Austin Island,"2205 S Congress Ave., Austin, Texas 78704"
West Austin Neighborhood Park,"1317 W 10th St., Austin, Texas 78703"
Walter E. Long Metro Park,"6620 Blue Bluff Rd., Austin, Texas 78724"
Payton Gin Pocket Park,"801 Payton Gin Rd., Austin, Texas 78758"
Walnut Creek Greenbelt,"2611 Park Bend Rd., Austin, Texas 78758"
Astor Place Pocket Park,"1716 Astor Pl., Austin, Texas 78721"
Givens District Park,"3811 E 12th St., Austin, Texas 78721"
Govalle Neighborhood Park,"5200 Bolm Rd., Austin, Texas 78721"
Onion Creek Greenbelt,"7004 Onion Creek Dr., Austin, Texas 78744"
Oakwood Annex Cemetery,"1509 E MLK Jr Blvd., Austin, Texas 78702"
Cunningham School Park,"6213 Buffalo Pass, Austin, Texas 78745"
Republic Square,"422 Guadalupe St., Austin, Texas 78701"
Sir Swante Palm Neighborhood Park,"200 N IH 35 Svrd SB, Austin, Texas 78701"
Swede Hill Pocket Park,"907 E 14th St., Austin, Texas 78702"
Circle C Ranch Metro Park,"6301 W Slaughter Ln., Austin, Texas 78739"
Margaret Hoffman Oak Park,"315 W Cesar Chavez St., Austin, Texas 78701"
Wooten Neighborhood Park,"1500 Dale Dr., Austin, Texas 78757"
Barton Hills School Park,"2009 Homedale Dr., Austin, Texas 78704"
Dry Creek Greenbelt,"6100 Constellation Cir., Austn, Texas 78617"
Sparky Pocket Park,"3701 Grooms St., Austin, Texas 78705"
Triangle Commons Neighborhood Park,"722 W 46th St., Austin, Texas 78751"
Williamson Creek Central Greenbelt,"5120 S 1st St., Austin, Texas 78745"
Patterson Neighborhood Park,"4200 Brookview Rd., Austin, Texas 78722"
Lakeline Neighborhood Park,"2701 S Lakeline Blvd., Austin, Texas 78613"
Montopolis Neighborhood Park,"1200 Montopolis Dr., Austin, Texas 78741"
Springbrook Driving Range,"1800 Picadilly Rd., Pflugerville, Texas 78664"
Waterloo Neighborhood Park,"500 E 12th St., Austin, Texas 78701"
Tannehill Creek Greenbelt,"2403 E 51st St., Austin, Texas 78723"
Veterans Pocket Park,"2200 Veterans Dr., Austin, Texas 78703"
Walnut Creek Sports Park,"7800 Johnny Morris Rd., Austin, Texas 78724"
Gullett School Park,"3105 Hunt Trl., Austin, Texas 78757"
Old Moore's Crossing Neighborhood Park,"7420 Apperson St., Austin, Texas 78617"
Old San Antonio Greenbelt,"11705 Old San Antonio Rd., Austin, Texas 78748"
Oswaldo A.B. Cantu/Pan-American Recreation Center,"307 Chicon St., Austin, Texas 78702"
Roy Kizer Golf Course,"5400 Jimmy Clay Dr., Austin, Texas 78744"
Upper Bull Creek Greenbelt,"7800 Spicewood Springs Rd., Austin, Texas 78759"
Peace Point at Town Lake Metro Park,"2200 S Lakeshore Blvd., Austin, Texas 78741"
Reilly School Park,"6001 Guadalupe St., Austin, Texas 78752"
Great Hills Neighborhood Park,"10801 Sierra Oaks, Austin, Texas 78759"
T.A. Brown School Park,"520 Northway Dr., Austin, Texas 78752"
Elizabet Ney Museum,"304 E 44th St., Austin, Texas 78751"
Indiangrass Wildlife Sanctuary,"10203 Lindell Ln., Austin, Texas 78724"
Mary Frances Baylor Clarksville Pocket Park,"1811 W 11th St., Austin, Texas 78703"
Balcones District Park,"12017 Amherst Dr., Austin, Texas 78759"
Little Zilker Neighborhood Park,"2016 Bluebonnet Ln., Austin, Texas 78704"
Zilker Nature Preserve,"301 Nature Center Dr., Austin, Texas 78746"
Duncan Neighborhood Park,"900 W 9th St., Austin, Texas 78701"
Alamo Pocket Park,"2100 Alamo St., Austin, Texas  78722"
John Trevino Jr. Metro Park at Morrison Ranch,"9501 FM 969 Rd., Austin, Texas 78725"
North Cat Mountain Greenbelt,"6801 Cat Creek Trl., Austin, Texas 78731"
Silk Oak Neighborhood Park,"3204 Silk Oak Dr., Austin, Texas 78748"
Austin High Tennis Center,"1717 W Cesar Chavez St., Austin, Texas 78703"
Davis Hill Neighborhood Park,"3402 Davis Ln., Austin, Texas 78745"
Elroy Neighborhood Park,"7527 Elroy Rd., Austin, Texas 78617"
Grey Rock Golf Course,"7401 SH 45 EB, Austin, Texas 78739"
Hancock Golf Course,"811 E 41st St., Austin, Texas 78751"
Stephenson Nature Preserve & Outdoor Education Center,"7501 Longview Rd., Austin, Texas 78745"
Earl J. Pomerleau Pocket Park,"1906 Patton Ln., Austin, Texas 78723"
Blowing Sink Research Management Area,"3705 Deer Ln., Austin, Texas, 78749"
Alderbrook Pocket Park,"12444 Lamplight Village Ave., Austin, Texas 78758"
Bailey Neighborhood Park,"1101 W 33rd St., Austin, Texas 78705"
Copperfield Neighborhood Park,"1425 E Yager Ln., Austin, Texas 78753"
Dittmar District Park,"1009 W Dittmar Rd., Austin, Texas 78748"
Lakeshore at Town Lake Metro Park,"2200 S Lakeshore Blvd., Austin, Texas 78741"
Gracywoods Neighborhood Park,"12133 Metric Blvd., Austin, Texas 78758"
Old Bakery,"1006 Congress Ave., Austin, Texas 78701"
Maggie Boatright Area of the Bull Creek Greenbelt,"6958 Spicewood Springs Rd., Austin, Texas 78759"
Hill School Park,"8405 Tallwood Dr., Austin, Texas 78759"
Lamar Beach at Town Lake Metro Park,"1200 W Cesar Chavez St., Austin, Texas 78703"
Norman School Park,"3901 Tannehill Ln., Austin, Texas 78721"
North Austin Recreation Center/YMCA,"1000 W Rundberg Ln., Austin, Texas 78758"
Symphony Square,"1101 Red River St., Austin, Texas 78701"
Stillhouse Hollow Nature Preserve,"7810 Sterling Dr., Austin, Texas 78731"
Blunn Creek Pocket Park,"1405 Kenwood Ave., Austin, Texas 78704"
Kealing School Park,"1500 Rosewood Ave., Austin, Texas 78702"
Marble Creek Greenbelt,"6605 E William Cannon Dr., Austin, Texas 78744"
Riata Neighborhood Park,"12401 Riata Trace Pkwy., Austin, Texas 78727"
Ellen Higgins Pocket Park,"2711 Cameron Loop, Austin, Texas 78745"
North Acres Neighborhood Park,"1112 Hermitage Dr., Austin, Texas 78753"
Nuckols Crossing of Slaughter Creek Greenbelt,"400 Angel Oak St., Austin, Texas 78748"
Shoal Creek Greenbelt,"2600 N Lamar Blvd., Austin, Texas 78705"
Bull Creek District Park,"6701 Lakewood Dr., Austin, Texas 78731"
Franklin Neighborhood Park,"4800 Copperbend Blvd., Austin, Texas 78744 "
Hielscher Tract Greenbelt,"6801 La Crosse Ave., Austin, Texas 78739"
Mary Dawson Pocket Park,"650 Dawson Rd., Austin, Texas 78704"
Ramsey Neighborhood Park,"4301 Rosedale Ave., Austin, Texas 78756"
Garrison District Park,"6001 Manchaca Rd., Austin, Texas 78745"
Ponciana Neighborhood Park,"5201 Freidrich Ln., Austin, Texas 78744"
Seider Springs Greenbelt,"1380 W 34th St., Austin, Texas 78731"
Gaines Park,"3918 S Mopac Expy Svrd., Austin, Texas 78746"
Onion Creek Metro Park,"8652 Nuckols Crossing Rd., Austin, Texas 78744"
Williamson Creek East Greenbelt,"4618 E William Cannon Dr., Austin, Texas 78744"
Gregg Hill Pocket Park,"4105 Jefferson St., Austin, Texas 78731"
East Bouldin Creek Greenbelt,"901 Bouldin Ave., Austin, Texas 78704"
Gaines Greenbelt,"4800 S Mopac Expy., Austin, Texas 78735"
Doss School Park,"7013 Northledge Dr., Austin, Texas 78731"
North Star Greenbelt,"11701 Tallow Field Way, Austin, Texas 78758"
Oak Springs School Park,"2806 Goodwin Ave., Austin, Texas 78702"
Auditorium Shores at Town Lake Metro Park,"800 W Riverside Dr., Austin, Texas 78704"
Commons Ford Ranch Metro Park,"614 N Commons Ford Rd., Austin, Texas 78733"
Country Club Creek Greenbelt,"3109 Burleson Rd., Austin, Texas 78741"
Hartford Planting Strip,"2516 Hartford Rd., Austin, Texas 78703"
Hubert C. Schroeter Neighborhood Park,"11701 Big Trl., Austin, Texas 78759"
Manuel and Robert Donley Pocket Park,"2301 Haskell St., Austin, Texas 78702"
Norwood Tract at Town Lake Metro Park,"1009 Edgecliff Ter., Austin, Texas 78704"
Red Bud Isle,"3401 Red Bud Trl., Austin, Texas 78746"
Ryan Planting Strip,"6900 Ryan Dr., Austin, Texas 78757"
Tanglewood Neighborhood Park,"11409 Rustic Rock Rd., Austin, Texas 78750"
Cherrywood Pocket Park,"1600 E 34th St., Austin, Texas 78722"
Mayfield Nature Preserve,"3801 W 35th St., Austin, Texas 78703"
Highland Neighborhood Park,"403 W St Johns Ave., Austin, Texas 78752"
Adams-Hemphill Neighborhood Park,"201 W 30th St., Austin, Texas  78705"
Latta Branch Greenbelt,"7910 Beckett Rd., Austin, Texas 78749"
Downs Mabson Fields,"2816 E 12th St., Austin, Texas 78702"
